Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
75,50,BNB: Buy KRAKEN -> Sell BINANCE,307641.37,-0.3861,0.9780
75,100,BNB: Buy KRAKEN -> Sell COINBASE,308691.01,-0.4215,0.9780
75,150,BTC: Buy KRAKEN -> Sell BINANCE,306966.32,-0.3314,0.9780
75,200,BTC: Buy BINANCE -> Sell COINBASE,309736.86,-2.0000,0.9780
76,50,BNB: Buy BINANCE -> Sell COINBASE,307141.76,0.1616,0.9777
76,100,ETH: Buy BINANCE -> Sell KRAKEN,308585.04,-0.7983,0.9777
76,150,BTC: Buy COINBASE -> Sell KRAKEN,306225.44,-0.6997,0.9777
76,200,BNB: Buy KRAKEN -> Sell BINANCE,307460.19,-0.7278,0.9777
77,50,BNB: Buy BINANCE -> Sell KRAKEN,308031.01,0.4637,0.9775
77,100,BTC: Buy KRAKEN -> Sell COINBASE,310396.28,-0.2272,0.9775
77,150,BNB: Buy KRAKEN -> Sell BINANCE,308472.13,-0.3508,0.9775
77,200,ETH: Buy KRAKEN -> Sell COINBASE,309801.01,-0.9376,0.9775
78,50,ETH: Buy KRAKEN -> Sell COINBASE,307111.64,-0.4550,0.9772
78,100,ETH: Buy BINANCE -> Sell KRAKEN,309363.48,-0.1147,0.9772
78,150,ETH: Buy BINANCE -> Sell KRAKEN,306852.83,-2.0000,0.9772
78,200,WAIT (Holding Capital),309454.80,-0.0100,0.9772
79,50,ETH: Buy COINBASE -> Sell BINANCE,307079.94,0.0031,0.9769
79,100,ETH: Buy BINANCE -> Sell COINBASE,309797.77,-0.0121,0.9769
79,150,BTC: Buy BINANCE -> Sell KRAKEN,307464.37,0.7342,0.9769
79,200,ETH: Buy KRAKEN -> Sell BINANCE,309496.83,0.0958,0.9769
80,50,BTC: Buy COINBASE -> Sell KRAKEN,307227.64,-0.5665,0.9766
80,100,WAIT (Holding Capital),308583.31,-0.0100,0.9766
80,150,BTC: Buy BINANCE -> Sell KRAKEN,306820.73,0.5650,0.9766
80,200,BTC: Buy BINANCE -> Sell COINBASE,308254.04,5.1816,0.9766
81,50,BTC: Buy COINBASE -> Sell KRAKEN,307161.85,-0.7046,0.9763
81,100,WAIT (Holding Capital),308624.27,-0.0100,0.9763
81,150,BNB: Buy BINANCE -> Sell KRAKEN,307947.19,-0.5763,0.9763
